slsNoSL,slsDate,cstName,itmName,slsQty,uomName_x,slsPrice,slsDisc,slsSubTotal,slsPPN,slsTotal,Brand,uomName_y,Discoint beli (%),Discount Jual (%)
SI202109000001,2021-09-03 00:00:00,SINAR UTAMA,SIKACERAM 200 TA-TILEFIX @25KG,3.0,SAK,138105.0,0.0,414315.0,0.0,414315.0,SIKA,SAK,22.16,16.3
SI202109000010,2021-09-03 00:00:00,SINAR LESTARI,SIKAMUR 130 THINBED @40KG,15.0,SAK,71145.0,0.0,1067175.0,0.0,1067175.0,SIKA,SAK,22.16,16.3
SI202109000010,2021-09-03 00:00:00,SINAR LESTARI,SIKAWALL 181 SKIMCOAT @40KG,5.0,SAK,87885.0,0.0,439425.0,0.0,439425.0,SIKA,SAK,22.16,16.3
SI202110000233,2021-09-03 00:00:00,ASIA MAS,SIKACERAM 200 TA-TILEFIX @25KG,15.0,SAK,138105.0,0.0,2071575.0,0.0,2071575.0,SIKA,SAK,22.16,16.3
SI202109000002,2021-09-06 00:00:00,JAYA KEPANDEAN,SIKAMUR 130 THINBED @40KG,20.0,SAK,71145.0,0.0,1422900.0,0.0,1422900.0,SIKA,SAK,22.16,16.3
SI202109000002,2021-09-06 00:00:00,JAYA KEPANDEAN,SIKAWALL 181 SKIMCOAT @40KG,5.0,SAK,87885.0,0.0,439425.0,0.0,439425.0,SIKA,SAK,22.16,16.3
SI202109000003,2021-09-08 00:00:00,CAHAYA MUTIARA,SIKAMUR 130 THINBED @40KG,5.0,SAK,71145.0,0.0,355725.0,0.0,355725.0,SIKA,SAK,22.16,16.3
SI202109000004,2021-09-08 00:00:00,BERKAH MUTIARA,SIKAMUR 130 THINBED @40KG,5.0,SAK,71145.0,0.0,355725.0,0.0,355725.0,SIKA,SAK,22.16,16.3
SI202110000234,2021-09-08 00:00:00,HARAPAN PAMULANG,SIKACERAM 150 CA-TILEFIX @25KG,20.0,SAK,55800.0,0.0,1116000.0,0.0,1116000.0,SIKA,SAK,16.3,10
SI202110000234,2021-09-08 00:00:00,HARAPAN PAMULANG,SIKAMUR 130 THINBED @40KG,30.0,SAK,71145.0,0.0,2134350.0,0.0,2134350.0,SIKA,SAK,22.16,16.3
SI202110000234,2021-09-08 00:00:00,HARAPAN PAMULANG,SIKAWALL 181 SKIMCOAT @40KG,20.0,SAK,87885.0,0.0,1757700.0,0.0,1757700.0,SIKA,SAK,22.16,16.3
SI202109000005,2021-09-09 00:00:00,JAYA MAKMUR (ADIYASA),SIKAMUR 130 THINBED @40KG,10.0,SAK,71145.0,0.0,711450.0,0.0,711450.0,SIKA,SAK,22.16,16.3
SI202109000005,2021-09-09 00:00:00,JAYA MAKMUR (ADIYASA),SIKACERAM 150 CA-TILEFIX @25KG,5.0,SAK,55800.0,0.0,279000.0,0.0,279000.0,SIKA,SAK,16.3,10
SI202109000006,2021-09-10 00:00:00,HARAPAN JAYA,SIKAMUR 130 THINBED @40KG,50.0,SAK,71145.0,0.0,3557250.0,0.0,3557250.0,SIKA,SAK,22.16,16.3
SI202109000058,2021-09-11 00:00:00,METTA SARANA ASRI,SIKAMUR 130 THINBED @40KG,20.0,SAK,71145.0,0.0,1422900.0,0.0,1422900.0,SIKA,SAK,22.16,16.3
SI202109000061,2021-09-11 00:00:00,PUTRA ABADI 2,SIKAMUR 130 THINBED @40KG,20.0,SAK,71145.0,0.0,1422900.0,0.0,1422900.0,SIKA,SAK,22.16,16.3
SI202109000007,2021-09-13 00:00:00,SINAR HARAPAN JAYA,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000022,2021-09-13 00:00:00,NUSANTARA,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000062,2021-09-13 00:00:00,JOMBANG BARU,SIKA TOP 107+ @4X4KG,3.0,DUS,378429.0,0.0,1135287.0,0.0,1135287.0,SIKA,DUS,50,45
SI202109000065,2021-09-13 00:00:00,PELITA AGUNG 1,SIKA TOP 107+ @4X4KG,5.0,DUS,378429.0,0.0,1892145.0,0.0,1892145.0,SIKA,DUS,50,45
SI202109000067,2021-09-13 00:00:00,BERKAT MAKMUR JAYA,SIKAWALL 181 SKIMCOAT @40KG,10.0,SAK,87885.0,0.0,878850.0,0.0,878850.0,SIKA,SAK,22.16,16.3
SI202109000069,2021-09-13 00:00:00,MEKAR JAYA ABADI,SIKACERAM 150 CA-TILEFIX @25KG,20.0,SAK,55800.0,0.0,1116000.0,0.0,1116000.0,SIKA,SAK,16.3,10
SI202109000011,2021-09-14 00:00:00,TEKUN JAYA,CAIRAN SIKA TOP 107 (A) @5KG,5.0,GALON,283745.0,0.0,1418725.0,0.0,1418725.0,SIKA,GALON,49,45
SI202109000023,2021-09-14 00:00:00,BERKAT MERAK,SIKA GROUT 215 @25KG,280.0,SAK,88647.0,0.0,24821160.0,0.0,24821160.0,SIKA,SAK,50,45
SI202109000079,2021-09-14 00:00:00,SARANA BANGUN PERKASA,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000008,2021-09-15 00:00:00,PRAMKO KENCANA 2,SIKA TOP 107+ @4X4KG,3.0,DUS,378429.0,0.0,1135287.0,0.0,1135287.0,SIKA,DUS,50,45
SI202109000009,2021-09-15 00:00:00,MEKAR JAYA INDAH,SIKA TOP 107+ @4X4KG,1.0,DUS,378429.0,0.0,378429.0,0.0,378429.0,SIKA,DUS,50,45
SI202109000080,2021-09-15 00:00:00,MEKAR JAYA ABADI,SIKACERAM 180 GA-TILEFIX @25KG,15.0,SAK,77004.0,0.0,1155060.0,0.0,1155060.0,SIKA,SAK,22.16,16.3
SI202109000080,2021-09-15 00:00:00,MEKAR JAYA ABADI,SIKACERAM 150 CA-TILEFIX @25KG,5.0,SAK,55800.0,0.0,279000.0,0.0,279000.0,SIKA,SAK,16.3,10
SI202109000080,2021-09-15 00:00:00,MEKAR JAYA ABADI,SIKALASTIC 590 DECKSEAL GREY @4X4KG,1.0,DUS,931700.0,0.0,931700.0,0.0,931700.0,SIKA,DUS,49,45
SI202109000081,2021-09-15 00:00:00,DUTA BANGUNAN JAYA,SIKA TOP 107+ @4X4KG,4.0,DUS,378429.0,0.0,1513716.0,0.0,1513716.0,SIKA,DUS,50,45
SI202109000084,2021-09-15 00:00:00,KARUNIA MANDIRI,SIKALASTIC 590 DECKSEAL GREY @4X4KG,1.0,DUS,931700.0,0.0,931700.0,0.0,931700.0,SIKA,DUS,49,45
SI202109000085,2021-09-15 00:00:00,WANDA PAINTS,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000085,2021-09-15 00:00:00,WANDA PAINTS,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000085,2021-09-15 00:00:00,WANDA PAINTS,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000087,2021-09-16 00:00:00,UTAMA,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000087,2021-09-16 00:00:00,UTAMA,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000087,2021-09-16 00:00:00,UTAMA,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000088,2021-09-16 00:00:00,DUNIA BANGUNAN,SIKA TOP 107+ @4X4KG,10.0,DUS,378429.0,0.0,3784290.0,0.0,3784290.0,SIKA,DUS,50,45
